home_ownership,income,dti,fico,loan_status,
1,45000,17.25,670,1,
1,137500,29.14,730,0,
1,70000,38.92,680,1,
1,115000,11.58,685,0,
1,125000,16.39,670,1,
0,49000,25.96,680,0,
1,78000,17.83,725,1,
1,60000,11.7,665,1,
1,170000,13.77,675,0,
1,20340,21.47,670,1,
0,28500,4.34,685,1,
1,137000,4.2,675,1,
1,45000,3.09,680,1,
1,80000,16.61,675,1,
1,92500,10.15,745,1,
1,90000,22.89,670,1,
0,33000,31.82,665,0,
1,62000,13.8,665,1,
1,59517,13.77,665,1,
1,109000,12.8,705,1,
1,70000,17.47,680,1,
1,49300,23.32,690,1,
1,75000,21.04,665,0,
1,110000,13.14,810,1,
1,195000,16.18,720,1,
1,85000,12.45,720,0,
1,34000,28.8,665,1,
1,33020,23.31,720,1,
0,58000,6.7,735,1,
0,56000,15,770,1,
0,42000,12.37,675,0,
0,64000,18.47,735,1,
1,103000,12.68,755,1,
1,187000,11.13,765,1,
1,65000,30.25,705,1,
0,150000,9.91,660,0,
1,38000,24.86,690,1,
1,20582.4,10.96,685,1,
1,65000,15.12,670,1,
0,40000,24.36,675,1,
1,99400,26.14,740,1,
0,150000,7.94,675,1,
1,62000,19.35,685,1,
1,95000,16.71,695,1,
0,50000,17.86,680,1,
1,62000,24.54,695,1,
1,50000,9.46,685,1,
1,100000,13.86,705,0,
0,27000,26.89,685,1,
1,55000,17.43,675,1,
1,27000,29.07,670,1,
1,92000,15.01,675,0,
1,63000,29.24,715,1,
0,37000,17.13,690,1,
1,50000,21.88,685,1,
0,70000,6.34,685,1,
1,81000,23.15,675,1,
0,57472,10.15,670,1,
1,120000,17.49,715,1,
0,75000,9.96,680,1,
0,67000,26.92,680,0,
1,90000,21.97,685,1,
1,90000,13.56,675,1,
0,68000,23.63,670,0,
1,60000,9.68,675,1,
1,31000,11.65,685,0,
0,120000,17,660,1,
0,140000,13.39,670,0,
1,34560,21.7,665,1,
1,52000,23.1,680,0,
1,64000,26.48,690,1,
1,62796,22.07,665,1,
1,35000,28.6,770,1,
0,38000,13.11,675,1,
0,145000,18.38,680,1,
0,85000,14.91,715,1,
0,74000,15.68,670,1,
1,34600,12.97,760,1,
0,60000,9.57,770,1,
1,200000,26.35,660,1,
1,70000,25,685,0,
0,96000,17.61,725,1,
0,56000,6.54,705,1,
0,130000,6.77,665,1,
0,120000,3.45,725,1,
1,151000,12.66,715,1,
1,85000,23.45,735,1,
0,58000,18.54,695,1,
0,46000,14.32,675,0,
1,90000,9.01,670,1,
1,75000,28.27,725,1,
0,51000,24.68,670,1,
1,83200,30.49,670,1,
0,71000,16.88,720,1,
1,50000,12.84,710,1,
1,140000,14.56,705,1,
0,78000,22.86,675,1,
1,90000,20.21,705,1,
1,22800,23.63,680,0,
1,45000,25.81,670,1,
1,62000,21.95,750,1,
0,72000,16.56,720,1,
1,50000,12.7,790,1,
1,50000,24.56,660,1,
1,63356,8.88,685,1,
1,145000,12.31,690,0,
1,50000,11.83,805,1,
0,38000,20.4,670,1,
0,64272,10.81,670,1,
0,48000,15.3,690,0,
1,50000,21.7,680,1,
0,55000,22.76,675,0,
0,80000,26.94,680,0,
0,50000,6.7,680,0,
1,84000,22.61,670,1,
0,41375,27.93,675,1,
1,64000,22.6,700,0,
1,35000,27.78,670,1,
1,120000,14.78,730,1,
0,61000,14.77,680,1,
1,135000,14.97,680,0,
1,100000,31.66,675,1,
1,30000,19.88,675,0,
0,48000,24.28,670,1,
0,55000,24.31,675,0,
1,40000,22.11,705,1,
0,80000,20.3,705,1,
0,45000,6.85,670,1,
0,71000,21.16,675,0,
0,50000,8.83,675,1,
1,100000,4.32,760,1,
1,35000,32.06,745,1,
0,45000,13.65,700,1,
1,44646,38.06,715,1,
0,42000,19.66,675,1,
1,63000,6,715,1,
1,112000,15.49,710,1,
0,55000,18.72,675,1,
1,100000,13.51,725,1,
1,110000,15.28,685,0,
0,109500,23.05,715,1,
1,72000,22.83,710,1,
0,30000,28.84,695,1,
0,50000,11.09,735,1,
1,104000,17.97,690,1,
0,70000,12.68,670,1,
1,150000,12.41,670,1,
0,42000,12.14,680,1,
1,63000,9.43,665,1,
0,91000,14.49,730,1,
0,60320,17.67,680,0,
0,80000,24.44,665,0,
1,62000,17.87,715,1,
1,69100,9.41,670,0,
0,20800,14.85,690,0,
1,112200,26.78,695,1,
1,201000,20.66,740,1,
1,150000,18.87,680,1,
1,50000,10.86,710,1,
1,190000,20.56,665,1,
1,91000,16.85,725,1,
1,75000,20.61,750,1,
1,41000,20.4,700,1,
1,76000,27.6,695,1,
1,750000,3.64,720,1,
0,45000,22.05,670,0,
1,60000,13.19,675,1,
1,127000,19.5,735,1,
1,80000,14.65,720,1,
0,47000,29.78,675,0,
1,85000,38.92,720,1,
1,50000,30.39,705,1,
1,138000,16.75,710,1,
0,50000,18.46,690,1,
0,72500,17.98,665,1,
1,78000,35.06,690,1,
0,44136,27.62,735,0,
1,35000,19.63,700,1,
1,55000,2.42,665,1,
1,609000,1.58,665,0,
1,144000,26.64,700,0,
1,100000,11.55,790,1,
1,81600,22.12,660,1,
0,17000,16.58,670,1,
1,44000,16.23,730,1,
0,67500,17.11,685,1,
0,72000,28.85,675,1,
1,225000,4.51,755,1,
0,120000,9.88,700,1,
1,50000,18.82,665,1,
1,85000,18.8,740,0,
1,78200,22.73,665,1,
0,102000,4.64,660,1,
0,33600,8.14,680,1,
0,50000,30.69,660,0,
0,58000,12.41,710,1,
0,50000,27.1,665,1,
0,55000,12.9,675,0,
1,75000,32.22,680,0,
1,70000,34.3,775,1,
1,175000,9.95,705,0,
1,90000,19.15,715,1,
0,120000,18.95,680,1,
1,57000,19.35,700,1,
1,62000,16.74,685,1,
1,95000,24.26,700,1,
1,120000,3.78,700,1,
0,97000,19.95,670,1,
0,84000,17.8,735,1,
1,57000,13.85,700,1,
1,45000,9.68,665,0,
0,22000,19.48,685,1,
1,200000,24.59,700,1,
1,130000,20.84,695,1,
0,35000,33.05,685,1,
1,75000,21.06,685,1,
0,24000,33.2,660,1,
1,55000,29.41,675,1,
1,94000,10.62,670,1,
1,90000,19.77,665,1,
0,46000,24.97,665,0,
0,115200,22.19,740,1,
1,88000,14.63,700,0,
1,52000,24.28,665,1,
1,85000,38.08,660,0,
1,64000,34.2,660,0,
0,60000,15.42,670,0,
1,55000,11.5,770,1,
0,82000,15.81,675,1,
0,119000,18.13,680,0,
1,119000,18.41,670,1,
0,30000,16.2,665,1,
0,75000,14.97,670,1,
0,45000,18.91,680,0,
1,40000,31.23,675,1,
1,96000,14.11,695,1,
1,88000,24.87,745,0,
0,47000,36.37,660,1,
1,58000,21.77,695,0,
1,85000,14.85,750,1,
0,50000,14.09,670,1,
1,60000,11.08,695,1,
1,95000,18.24,660,1,
0,55000,18.22,675,1,
1,39000,27.63,675,0,
1,26000,8.63,685,1,
1,36000,29.18,775,1,
1,54000,12.11,660,1,
1,120000,32.07,690,1,
1,45000,6.8,785,1,
0,84000,9.11,670,0,
0,100000,10.64,685,0,
1,55000,8.64,675,1,
1,57000,17.35,725,1,
1,25000,10.85,680,0,
1,87000,13.71,665,1,
0,383000,7.6,755,1,
0,39000,13.03,670,1,
0,75000,8.91,670,1,
0,104000,29.89,705,0,
1,87000,4.57,675,1,
1,43000,12.39,685,1,
1,36000,22.11,680,1,
0,80000,14.34,680,1,
1,110000,8.85,670,1,
0,65000,6.79,680,1,
1,214000,8.68,685,1,
1,75000,21.26,695,1,
1,25791.12,11.26,670,1,
0,38500,30.74,670,1,
1,78500,29.62,770,1,
1,94000,21,695,1,
1,115000,14.02,715,1,
1,125000,7.97,670,1,
0,39980,29.5,725,1,
1,67000,13.8,670,0,
1,93000,37.44,675,0,
0,35000,10.08,735,1,
1,94000,15.84,670,0,
1,30000,20.44,685,1,
0,30000,21.72,660,1,
0,67000,26.78,695,1,
0,56000,22.52,670,0,
1,140000,9.33,750,1,
1,52500,19.98,700,1,
0,95000,21.42,675,1,
1,60000,26.86,730,1,
0,53000,16.92,675,0,
0,61300,20.3,710,1,
1,80000,17.76,660,1,
0,40000,26.07,750,0,
0,47800,21.52,665,1,
0,45000,9.27,705,1,
1,120000,10.82,690,1,
1,74000,21.12,735,1,
1,55000,25.25,695,0,
1,68500,14.49,690,1,
1,32000,0.94,765,1,
1,36000,10.13,690,0,
1,78000,13.6,670,0,
0,75000,6.96,775,1,
0,19000,18.19,720,1,
1,35000,12.31,755,1,
0,75000,14.38,720,1,
1,88000,16.42,675,1,
1,80000,24.65,690,1,
1,50000,6.94,720,0,
0,36000,39.5,680,0,
0,60000,30.16,670,0,
0,53000,17.26,660,0,
1,57000,22.48,695,0,
1,18981,14.83,670,1,
1,70700,23,675,1,
1,175000,12.33,680,1,
1,180000,12.03,705,1,
0,55000,29.37,705,0,
0,26400,22.77,670,0,
1,140500,15.64,800,1,
0,60000,15.66,690,0,
0,35000,13.21,720,1,
0,68000,21.9,665,1,
0,80000,9.74,710,1,
1,95000,15.31,765,1,
1,75000,14.08,675,1,
1,52000,1.45,750,1,
0,55000,31.27,700,1,
0,54828,15.58,675,1,
1,39520,20.71,690,0,
1,59000,34.24,715,0,
1,90000,13.59,685,1,
1,45500,31.23,705,1,
0,65000,17.86,660,1,
0,47000,37.56,665,0,
0,34000,7.45,665,1,
1,35000,32.23,730,1,
1,45000,25.49,695,1,
1,175000,19.06,760,1,
1,52000,18.76,675,1,
1,80000,16.01,670,1,
1,74200,30.46,715,1,
1,48500,23.73,675,0,
0,70000,12.84,660,1,
0,49000,11.98,690,1,
0,50000,17.47,670,0,
1,160000,13.49,665,1,
0,40000,3.15,735,1,
1,68000,25.47,690,1,
1,41612,8.62,665,1,
0,60000,8.68,755,1,
1,100000,20,690,1,
1,33600,14.82,720,1,
0,27000,23.6,720,1,
0,80000,24.72,700,0,
0,73000,14.47,680,1,
1,63700,13.56,775,0,
1,100000,21.67,675,0,
1,28500,7.58,670,1,
0,35000,13.85,680,1,
1,36000,34.26,735,1,
0,39000,10.86,665,1,
0,80000,21.54,740,1,
1,69000,17.84,690,0,
1,63528,25.67,665,0,
1,37703,28.19,690,1,
0,37500,16.03,690,1,
1,50000,22.49,670,0,
0,43000,24.39,665,1,
1,105000,23.99,675,1,
0,25000,18.53,720,1,
1,63000,26.72,750,1,
1,46000,8.11,695,1,
0,110000,8.3,740,1,
1,89853,26.36,715,1,
1,75000,1.6,700,1,
1,142300,13.6,660,0,
1,30000,24.36,660,1,
1,80000,37.79,710,1,
0,43000,27.27,720,1,
0,42000,32.2,715,1,
1,190000,12.46,715,1,
0,90000,6.19,670,1,
1,75000,32.89,705,0,
0,45000,17.49,700,0,
1,225000,17.02,670,1,
1,87000,30.08,695,0,
1,38000,18.7,665,0,
1,115000,29.36,780,1,
1,410000,7.01,705,1,
1,80000,12.95,675,1,
1,32000,24.08,705,1,
1,30000,29.32,700,1,
0,32000,19.24,680,1,
1,105000,25.01,705,1,
0,38000,26.15,750,1,
0,28000,7.72,715,1,
1,66000,28.2,675,0,
1,19000,6.19,710,1,
1,145000,16.15,695,0,
1,100000,22.38,660,0,
1,65000,6.24,665,1,
0,20000,22.09,720,1,
1,130000,20.44,730,1,
0,107000,20.49,670,0,
1,75580,28.04,685,1,
0,39000,22.58,660,1,
0,65000,8.25,695,1,
1,27000,2.22,675,0,
1,64000,7.97,680,0,
0,42000,28.51,755,0,
1,120000,13.23,690,1,
0,56875,13.74,675,0,
0,68000,18.78,670,1,
0,36196,20.06,680,1,
0,55000,18,720,1,
0,200000,7.47,675,1,
1,135000,13.38,705,1,
0,28800,21.42,690,1,
1,82000,21.94,690,1,
1,75000,10.8,775,1,
1,69993.26,12.93,700,0,
1,50000,6.98,755,1,
1,77000,23.94,670,1,
0,110000,8.42,660,0,
1,68000,31.13,675,1,
0,35000,24.45,680,1,
0,69920,30.24,670,1,
1,51000,19.69,660,0,
0,27000,27.11,665,1,
1,28296,26.51,720,1,
1,56000,20.38,665,0,
1,22921,20.73,695,1,
1,94000,16.08,710,1,
1,60000,30.35,750,1,
1,109000,14.32,665,1,
0,34486.4,6.86,665,0,
0,30000,27.17,665,0,
1,55000,6.39,710,1,
1,38000,12.32,660,1,
1,75000,14.17,715,1,
0,83000,7.13,670,1,
0,52000,6.88,740,1,
1,65580,16.4,670,1,
0,45000,20.05,705,1,
1,48168,32.63,675,1,
1,30000,23.36,680,1,
0,47000,18.74,670,1,
1,71000,20.45,700,1,
1,44400,12.03,700,1,
0,50000,22.23,665,0,
1,97000,13.42,795,1,
1,25000,33.22,660,0,
0,34000,22.65,795,1,
0,70000,34.22,665,1,
1,135000,12.71,740,1,
1,82000,34.48,670,0,
1,140000,20.09,705,1,
1,275000,7.99,665,1,
1,30000,7.84,720,1,
1,62000,7.73,715,1,
0,35000,4.46,730,0,
0,103200,23,715,0,
0,11652,14.42,670,0,
0,120000,9.83,715,1,
0,28000,24.38,665,1,
0,50000,9.5,670,1,
0,100000,21.4,725,1,
1,80000,17.83,730,1,
0,68000,15.8,695,0,
0,43000,2.9,705,0,
1,70000,28.39,745,1,
1,78000,21.48,660,1,
1,39000,22.77,670,0,
0,68520,31.94,740,1,
0,56000,15.3,690,0,
0,45403,24.24,665,0,
1,65000,13.81,700,1,
0,40000,11.89,660,1,
1,95000,21.94,740,1,
0,67800,13.22,710,1,
1,110000,3.76,710,1,
0,20000,12.97,705,0,
1,89500,22.87,660,1,
1,62000,28.18,665,1,
0,76000,25.21,715,0,
0,36000,24.27,710,1,
0,40000,24.21,675,1,
1,20848,34.16,665,0,
1,60000,15.74,705,1,
1,105000,13.36,750,1,
1,150000,9.46,810,1,
1,70000,19.61,675,1,
1,89793,7.07,665,1,
0,40000,15.54,720,1,
1,53661,21.22,665,1,
1,130000,18.43,725,1,
1,160000,16.71,730,1,
1,70000,13.68,685,1,
1,125000,10.74,665,0,
1,80000,9.72,725,1,
1,53000,11.07,695,1,
1,28000,7.93,685,0,
0,38000,30.48,690,0,
0,38400,34.63,675,0,
1,78000,20.6,675,1,
1,51000,21.6,670,1,
1,82000,6.83,745,1,
0,42000,7.23,660,0,
0,105000,12.74,660,1,
1,83000,12.54,695,1,
1,160000,10.25,660,1,
1,88628.8,20.07,710,1,
0,62436,19.97,670,0,
1,120000,10.25,690,1,
1,50000,28.95,735,1,
0,54000,36.18,665,1,
1,70000,13.58,685,1,
0,85000,26.91,665,1,
1,46000,15.55,695,1,
0,60000,23.5,705,1,
0,82000,27.35,705,1,
1,21000,22.06,680,1,
1,75000,14.05,735,1,
1,110000,18.39,730,1,
1,110000,19.93,660,1,
0,54000,10.82,660,1,
1,70000,6.58,695,0,
1,77250,15.15,670,0,
1,136000,14.72,675,0,
0,38925,21.06,680,0,
1,85000,26.43,685,0,
0,90000,25.56,720,1,
0,70000,14.09,695,1,
0,43000,11.61,680,1,
1,56000,10.82,660,1,
0,140000,6.5,675,1,
0,80000,16.22,700,1,
0,55000,21.91,670,0,
1,87500,17.56,685,1,
1,44000,7.53,740,1,
0,26208,22.62,720,1,
1,80000,25.58,750,0,
0,40000,32.91,665,1,
1,125000,22.29,685,1,
0,33280,22.9,715,0,
1,102495,19.51,695,1,
0,101000,9.7,760,1,
0,82000,8.15,665,1,
1,25000,25.35,695,1,
0,34000,33.71,685,0,
1,125000,13.8,685,1,
1,45000,12.43,705,1,
1,152838,32.88,705,0,
0,52000,13.59,660,0,
1,45000,12.83,725,1,
0,100000,6.72,675,1,
1,57000,22.4,685,1,
1,145000,10.89,695,1,
1,54000,14.24,695,1,
0,20000,0,770,1,
1,40000,13.86,710,1,
1,82000,16.43,690,1,
1,69996,15.91,690,1,
0,35000,20.54,665,1,
1,36000,21.9,680,1,
1,67000,22.51,670,1,
1,52000,21.6,710,0,
0,41000,17.1,670,1,
1,290000,11.73,685,1,
1,55000,29.54,715,1,
0,60000,15.5,660,0,
0,68000,7.58,735,1,
1,48000,38.58,660,1,
1,34800,27.68,670,1,
0,182000,9.28,695,1,
1,51000,9.6,715,1,
0,45000,24.93,690,1,
0,28800,16.75,665,1,
1,40000,5.04,665,1,
1,80000,23.79,715,1,
1,75000,7.58,670,1,
1,52000,28.85,705,1,
0,120000,33.85,705,1,
0,24800,23.33,690,0,
1,200000,7.44,675,0,
1,150000,1.77,685,1,
1,107000,20.62,715,1,
1,109000,26.47,670,1,
0,60000,6.13,670,1,
1,48000,21.95,700,1,
0,78000,14.85,690,1,
0,100000,10.45,670,1,
0,55000,12.55,710,1,
1,118582,7.36,745,1,
1,72000,23.22,700,1,
1,60830,10.06,670,1,
0,30000,12.72,705,1,
1,74000,22.93,690,1,
0,57000,4.38,660,1,
0,35000,36.9,660,0,
1,70000,38.52,685,1,
0,85000,17.28,690,1,
0,80000,24.58,675,1,
0,50000,10.61,730,1,
0,34000,12.68,700,1,
0,50200,23.24,680,1,
1,92000,27.43,685,1,
1,140000,30.54,685,1,
1,56000,12.86,685,1,
0,140000,29.46,710,1,
1,85000,16.69,700,1,
1,60000,13.52,690,0,
1,58700,33.45,690,1,
1,95000,15.49,680,1,
0,48000,26.08,695,1,
1,50000,13.34,690,1,
1,140000,7.6,690,1,
1,100000,19.18,770,1,
1,75000,20.29,695,1,
1,40000,21.87,665,1,
1,156000,23.57,660,1,
1,42000,7.34,795,1,
0,67000,19.99,715,1,
0,43000,10.52,685,1,
1,53000,32.63,690,1,
1,103000,14.26,680,1,
1,80000,13.58,665,1,
1,150000,14.53,700,1,
1,84000,17.13,675,0,
1,75000,18.18,695,1,
0,100000,9.9,660,1,
1,59859,23.22,670,1,
0,38000,13.83,720,1,
0,80000,10.2,795,1,
1,50000,15.89,715,0,
1,63000,17.68,745,1,
1,104000,14.56,740,1,
0,156000,6.79,660,1,
0,55000,24.92,700,1,
0,61000,3.58,665,1,
1,75000,9.38,760,1,
0,35000,33.02,670,0,
1,72800,20.74,705,1,
1,200000,7.58,725,1,
0,51506,20.67,680,1,
1,104700,22.5,730,1,
1,78000,25.18,705,1,
0,50000,22.2,720,1,
1,70000,8.73,765,0,
1,63000,39.72,705,0,
1,72000,10.22,685,0,
0,50000,15.87,670,1,
1,40000,23.55,740,0,
0,46000,20.09,705,1,
0,120000,23.61,685,1,
1,90000,31.28,685,1,
1,273000,4.05,680,1,
0,50000,8.02,670,1,
1,60012,32.33,700,1,
1,87000,6.55,750,1,
0,54000,17.24,740,1,
1,86000,13.12,720,1,
0,69800,29.38,685,0,
1,60000,28.42,785,1,
1,95650,4.53,700,1,
1,46644,12.79,680,1,
1,150000,20.76,690,1,
1,65000,30.26,740,1,
0,78000,10.14,660,1,
1,61000,22.58,750,0,
1,71750,20.25,665,0,
0,185000,9.3,690,1,
0,40000,18.15,660,1,
0,29000,28.1,675,0,
0,95000,19.19,660,1,
0,92000,11.71,695,1,
0,39500,18.27,665,1,
1,23305.44,17.35,685,1,
1,95000,3.63,730,1,
1,60000,17.78,710,1,
0,24960,21.39,685,1,
1,50000,3.53,680,1,
1,35000,21.5,660,1,
1,40251,10.67,695,1,
1,89000,25.34,690,1,
1,90000,9.01,705,1,
1,217000,8.35,705,1,
1,84000,7.71,670,1,
0,45000,20.45,720,1,
1,70000,18.86,695,1,
0,82000,12.31,670,1,
0,64000,18.34,665,0,
0,75000,16.14,660,1,
0,60000,24.72,660,1,
1,85000,19.98,690,0,
1,85000,15.88,730,1,
0,76000,16.45,710,1,
1,57500,29.1,705,1,
0,56000,22.65,670,0,
1,80000,30.08,685,1,
1,86000,15,735,1,
1,50000,28.16,690,1,
0,50000,15.12,695,1,
0,30000,11.28,690,1,
1,79473,25.54,680,1,
1,120000,13.08,715,1,
0,92000,20.62,720,0,
1,55250,34.4,670,1,
0,46500,25.7,760,1,
1,155000,24.86,690,1,
1,74000,23.35,710,0,
1,45000,29.52,720,1,
0,38500,31.02,735,1,
0,47000,26,700,1,
0,48000,21.88,700,1,
1,148000,12.32,770,0,
1,70000,18.72,670,1,
0,28685,22.72,695,1,
0,65000,4.97,730,1,
1,37000,7.36,715,0,
0,75000,18.78,690,1,
1,60000,26.97,780,1,
1,105000,15.66,740,1,
0,72000,12.13,670,1,
1,40000,25.47,695,0,
0,85000,21.98,660,1,
1,40500,25.24,690,1,
0,120000,21.17,670,0,
0,80000,22.22,685,1,
1,66000,10.29,700,1,
1,83000,13.18,735,1,
1,45240,16.1,750,1,
0,24300,28.49,675,1,
1,35000,27.19,660,1,
1,90000,9.06,685,1,
0,58000,12.08,665,1,
0,40000,14.4,660,1,
0,64000,0.51,660,0,
1,50000,18.96,735,1,
1,90000,17.95,725,1,
1,106000,17.21,715,1,
1,40000,34.68,695,1,
0,70000,38.66,700,1,
1,100800,13.12,705,1,
0,140000,16.94,695,1,
1,150000,7.59,755,1,
0,34500,31.44,660,1,
1,77000,12.53,705,1,
0,50000,6.41,665,1,
0,45000,11.73,710,1,
0,45000,24.35,690,1,
0,103250,17.4,710,1,
1,52000,11.42,695,1,
1,110000,21.44,710,1,
1,32000,19.13,660,1,
0,74000,28.4,675,0,
1,79560,26.25,705,1,
1,85000,22.48,680,1,
1,73000,23.15,730,1,
1,20800,26.14,670,1,
0,62000,25.61,695,1,
1,43680,18.35,670,1,
0,95704,37.2,680,0,
0,32800,21,670,1,
1,40000,17.18,720,1,
1,55000,26.34,680,0,
0,30000,9.76,730,1,
0,36600,25.61,750,0,
0,70293,17.24,680,1,
1,45000,12.14,665,0,
1,48000,17.23,660,0,
0,75000,14.03,720,1,
0,150000,25.21,690,1,
0,15480,28.06,705,1,
1,43348,33,700,1,
0,78300,14.85,705,1,
1,40000,22.65,670,1,
1,75000,19.02,680,0,
1,25000,37.45,670,1,
1,30000,26.2,675,1,
1,54000,33.98,750,1,
1,55000,20.95,690,1,
1,78000,20.6,670,1,
1,86000,10.97,700,1,
1,88000,29.28,695,1,
1,80000,24,675,1,
0,56000,4.99,685,0,
1,60000,22.52,700,1,
1,55000,27.27,660,1,
1,75000,4.77,660,1,
0,55000,26.7,690,1,
0,120000,15.4,695,1,
1,61900,18.92,755,1,
0,125000,20.97,680,0,
1,54000,29.22,665,1,
1,50364,15.06,770,1,
1,110000,5.57,735,1,
0,73000,21.54,670,0,
1,110000,34.97,680,0,
1,62000,18.64,670,1,
1,35000,9.13,675,1,
1,22000,25.48,700,1,
1,72000,12.9,775,1,
0,31600,6.08,660,0,
1,36000,19.5,685,1,
0,14300,13.27,680,1,
1,66000,17.16,730,0,
1,99000,18.64,695,1,
0,42000,16.94,660,1,
0,11592,20.91,690,0,
1,175000,17,680,1,
0,75000,32.16,670,0,
0,46500,12.59,675,0,
0,42000,26.17,680,0,
1,85000,24.39,665,1,
1,36000,28.97,725,0,
0,49250,7.6,685,0,
0,450000,16,700,1,
0,85000,20.8,660,0,
1,25000,12.05,690,0,
0,40000,15.36,705,1,
1,25000,27.03,700,0,
1,44429,23.34,660,0,
1,45000,26.32,670,0,
0,44428,11.4,670,1,
1,59000,15.76,745,1,
1,50000,17.47,680,1,
0,120000,20.36,690,0,
1,120000,25.73,680,0,
1,250000,0.83,755,1,
1,100000,22.51,690,1,
0,50000,20.26,665,1,
0,68000,8.6,660,1,
0,38000,23.09,700,1,
1,80000,16.91,665,1,
1,114000,27.68,715,1,
0,48000,20.78,665,1,
1,210000,17.24,685,1,
0,189876,13.23,675,1,
1,65000,32.83,700,1,
1,40000,10.74,670,0,
1,25000,31.64,660,0,
0,95000,6.04,695,1,
1,87000,20.76,710,1,
1,40000,26.91,670,1,
1,300000,15.51,690,1,
0,55000,13.62,705,1,
1,42000,18.57,750,1,
0,90321,9.46,665,1,
0,65000,27.9,660,1,
1,37000,16.67,660,1,
0,50000,22.91,685,1,
1,48000,15.45,660,1,
0,70820,26.06,735,0,
1,53820,23.79,715,0,
1,85000,3.66,660,1,
1,100000,12.88,670,1,
1,75000,29.95,685,0,
0,75000,34.41,675,0,
0,78000,15.46,670,1,
1,41000,11.68,720,0,
1,75000,6.69,660,1,
1,60000,35.1,720,0,
1,90000,9.87,685,1,
1,66000,30.87,695,0,
0,33000,9.38,685,1,
1,83004,22.02,705,1,
1,58000,16.76,730,1,
1,31991,17.27,715,1,
1,70000,20.59,705,1,
0,52000,24.56,690,1,
1,100000,25.27,680,1,
1,86250,9.53,730,1,
1,39000,23.37,670,0,
1,45000,6.21,670,1,
0,62000,11.58,670,1,
1,70000,16.08,745,1,
0,80000,13.26,700,0,
1,80000,20.21,685,0,
1,47840,7.93,675,1,
1,60000,23.66,660,1,
1,101000,33.13,695,1,
0,42000,15.09,685,1,
0,48000,24.73,680,1,
1,60000,30.8,715,1,
1,40000,25.89,695,0,
1,80000,19.47,765,1,
1,62000,4.7,690,1,
0,38000,14.81,665,1,
0,88000,7.39,705,1,
1,52000,32.01,665,1,
0,77000,16.08,675,1,
1,67000,15.74,660,1,
0,125000,10.84,660,1,
1,37600,14.78,765,1,
1,70000,4.39,680,1,
1,95000,10.03,795,1,
1,98000,29.21,680,0,
1,105000,16.63,725,1,
1,42000,13.23,755,1,
1,110000,1.03,695,1,
0,61000,10.01,680,1,
0,25000,24.48,710,1,
1,94000,12.39,665,1,
1,160000,10.23,745,1,
0,74400,16.69,660,1,
